index,DateTime,Open,Close,High,Low,Volume,Previous_Close
2389,2018-02-21 12:49:05-05:00,67.45,67.45,67.45,67.45,0,66.95
2390,2018-02-21 12:49:10-05:00,67.45,67.45,67.45,67.45,0,66.95
2391,2018-02-21 12:49:15-05:00,67.45,67.45,67.45,67.45,0,66.95
2392,2018-02-21 12:49:20-05:00,67.45,67.45,67.45,67.45,0,66.95
2393,2018-02-21 12:49:25-05:00,67.45,67.45,67.45,67.45,0,66.95
2394,2018-02-21 12:49:30-05:00,67.45,67.48,67.48,67.44,30,66.95
2395,2018-02-21 12:49:35-05:00,67.48,67.48,67.48,67.48,0,66.95
2396,2018-02-21 12:49:40-05:00,67.48,67.48,67.48,67.48,0,66.95
2397,2018-02-21 12:49:45-05:00,67.48,67.48,67.48,67.48,7,66.95
2398,2018-02-21 12:49:50-05:00,67.48,67.48,67.48,67.48,0,66.95
2399,2018-02-21 12:49:55-05:00,67.48,67.48,67.48,67.48,0,66.95
2400,2018-02-21 12:50:00-05:00,67.48,67.48,67.48,67.48,0,66.95
2401,2018-02-21 12:50:05-05:00,67.48,67.48,67.48,67.48,0,66.95
2402,2018-02-21 12:50:10-05:00,67.48,67.48,67.48,67.48,0,66.95
2403,2018-02-21 12:50:15-05:00,67.48,67.48,67.48,67.48,10,66.95
2404,2018-02-21 12:50:20-05:00,67.46,67.48,67.48,67.45,55,66.95
2405,2018-02-21 12:50:25-05:00,67.48,67.48,67.48,67.48,0,66.95
2406,2018-02-21 12:50:30-05:00,67.48,67.48,67.5,67.48,75,66.95
2407,2018-02-21 12:50:35-05:00,67.51,67.51,67.51,67.5,15,66.95
2408,2018-02-21 12:50:40-05:00,67.51,67.51,67.51,67.51,5,66.95
2409,2018-02-21 12:50:45-05:00,67.49,67.49,67.49,67.48,55,66.95
2410,2018-02-21 12:50:50-05:00,67.49,67.49,67.49,67.49,0,66.95
2411,2018-02-21 12:50:55-05:00,67.49,67.49,67.49,67.49,0,66.95
2412,2018-02-21 12:51:00-05:00,67.48,67.48,67.48,67.48,5,66.95
2413,2018-02-21 12:51:05-05:00,67.48,67.48,67.48,67.48,5,66.95
2414,2018-02-21 12:51:10-05:00,67.48,67.48,67.48,67.48,0,66.95
2415,2018-02-21 12:51:15-05:00,67.48,67.48,67.48,67.48,0,66.95
2416,2018-02-21 12:51:20-05:00,67.48,67.48,67.48,67.48,0,66.95
2417,2018-02-21 12:51:25-05:00,67.48,67.48,67.48,67.48,0,66.95
2418,2018-02-21 12:51:30-05:00,67.48,67.48,67.48,67.48,0,66.95
2419,2018-02-21 12:51:35-05:00,67.48,67.47,67.48,67.47,10,66.95
2420,2018-02-21 12:51:40-05:00,67.47,67.47,67.47,67.47,0,66.95
2421,2018-02-21 12:51:45-05:00,67.47,67.47,67.47,67.47,0,66.95
2422,2018-02-21 12:51:50-05:00,67.47,67.47,67.47,67.47,0,66.95
2423,2018-02-21 12:51:55-05:00,67.47,67.47,67.47,67.47,0,66.95
