Open,Close,High,Low,Volume,Previous_Close
613.59,614.88,615.0,613.56,898,604.17
614.88,614.49,615.05,614.13,675,604.17
614.57,612.73,614.76,612.32,738,604.17
612.82,612.7,613.35,612.01,619,604.17
612.59,611.42,612.59,611.35,743,604.17
611.32,612.0,612.2,611.04,992,604.17
611.99,612.67,613.23,611.81,994,604.17
612.77,612.38,612.77,611.67,428,604.17
612.29,612.3,612.59,611.37,485,604.17
612.37,611.75,612.5,611.58,346,604.17
611.7,611.87,612.36,611.5,395,604.17
611.61,611.66,612.01,611.56,222,604.17
611.62,613.75,613.98,611.61,871,604.17
613.74,615.07,615.22,613.73,1342,604.17
615.09,615.17,615.74,614.5,1104,604.17
615.22,616.24,616.4,615.11,1001,604.17
616.3,615.7,616.3,615.53,407,604.17
615.57,616.14,616.99,615.57,914,604.17
616.02,616.33,616.5,615.43,624,604.17
616.37,615.51,616.57,615.01,676,604.17
615.49,615.58,616.3,615.45,312,604.17
615.56,614.73,615.76,614.2,645,604.17
614.78,613.84,614.93,613.33,650,604.17
614.01,612.86,614.02,612.38,696,604.17
612.86,613.36,613.89,612.85,679,604.17
613.5,614.91,615.24,613.39,739,604.17
614.92,615.25,615.61,614.92,548,604.17
615.36,614.17,615.36,614.17,459,604.17
614.17,612.87,614.2,612.31,755,604.17
612.9,613.88,613.88,612.9,412,604.17
614.0,613.32,614.22,612.8,523,604.17
613.26,613.33,614.0,613.14,298,604.17
613.58,612.73,613.97,612.31,478,604.17
612.75,613.3,613.43,612.74,239,604.17
613.03,609.94,613.03,609.93,1015,604.17
609.94,611.24,611.49,609.94,650,604.17
611.38,611.81,612.29,611.27,394,604.17
611.67,611.59,612.15,611.06,414,604.17
611.68,612.2,612.65,611.68,486,604.17
612.46,613.69,613.87,612.35,456,604.17
613.58,613.87,613.87,612.87,361,604.17
613.76,614.17,614.77,613.76,581,604.17
614.14,613.83,614.17,613.38,236,604.17
613.69,613.89,613.96,613.5,259,604.17
613.66,612.81,613.71,612.17,509,604.17
613.02,613.01,613.49,612.65,212,604.17
612.99,612.77,613.15,612.5,329,604.17
612.98,612.91,613.47,612.02,400,604.17
612.86,612.08,613.17,611.6,289,604.17
612.13,612.18,612.35,611.57,288,604.17
612.15,611.62,612.57,611.32,213,604.17
611.67,611.61,612.54,611.05,289,604.17
611.75,611.73,612.23,611.51,277,604.17
611.85,612.08,612.57,611.85,367,604.17
612.0,613.46,613.5,611.84,495,604.17
613.42,614.41,614.77,613.01,704,604.17
614.4,614.68,614.95,614.22,507,604.17
614.63,613.62,614.63,613.44,416,604.17
613.52,613.89,614.48,613.45,321,604.17
613.9,613.64,613.92,613.25,224,604.17
613.64,612.99,613.81,612.72,627,604.17
613.08,612.48,613.99,612.47,497,604.17
612.31,612.23,613.27,611.65,505,604.17
612.18,612.87,613.04,611.7,534,604.17
612.85,614.36,614.69,612.52,654,604.17
614.39,612.8,614.84,612.59,573,604.17
612.82,613.7,613.97,612.54,474,604.17
613.83,615.87,615.88,613.76,1159,604.17
615.8,614.87,615.85,614.56,569,604.17
614.75,616.15,616.44,614.65,1088,604.17
616.2,616.23,616.69,615.79,779,604.17
616.34,616.29,616.5,615.68,580,604.17
616.33,619.16,619.26,616.26,1608,604.17
619.07,619.36,619.87,618.54,1121,604.17
619.43,618.27,619.46,618.05,769,604.17
618.25,618.27,618.99,618.13,570,604.17
618.36,618.75,619.87,618.15,1058,604.17
618.58,618.2,618.58,617.27,829,604.17
618.19,617.77,618.34,617.32,488,604.17
617.7,617.73,618.84,617.11,858,604.17
617.71,618.59,618.96,617.55,608,604.17
618.47,619.01,619.05,618.43,629,604.17
619.1,619.18,619.66,618.94,754,604.17
619.2,617.63,619.33,617.1,783,604.17
617.5,618.14,618.45,617.5,550,604.17
618.09,618.32,618.99,617.69,427,604.17
618.44,618.66,619.12,618.0,543,604.17
618.58,618.74,618.9,617.8,384,604.17
618.71,619.29,619.55,618.66,631,604.17
619.29,619.5,619.55,618.55,679,604.17
619.34,619.19,619.55,618.8,417,604.17
619.01,618.79,619.11,618.31,368,604.17
618.63,619.2,619.5,618.63,521,604.17
619.19,619.4,619.5,618.5,671,604.17
619.42,619.21,619.48,618.51,412,604.17
619.25,619.0,619.45,618.61,248,604.17
619.1,619.02,619.2,618.37,353,604.17
619.09,619.32,619.6,618.71,731,604.17
619.08,619.83,620.0,618.9,920,604.17
619.8,619.97,620.0,618.71,855,604.17
619.76,618.72,620.0,618.48,865,604.17
618.67,617.41,618.67,615.88,1376,604.17
617.54,617.7,617.71,616.11,1026,604.17
617.73,617.9,618.4,617.36,730,604.17
617.91,616.75,618.21,616.64,417,604.17
616.62,615.97,616.75,615.34,1238,604.17
615.97,615.95,616.52,615.4,551,604.17
616.0,617.72,617.78,615.44,947,604.17
617.74,616.65,617.77,616.64,545,604.17
616.57,618.31,618.5,616.5,790,604.17
618.4,617.87,618.51,617.76,329,604.17
617.83,618.24,618.39,617.67,325,604.17
618.26,618.15,618.49,617.96,236,604.17
