index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
2614,727.5,728.2474,728.1,727.5,2146,709.755,727.9002115097854,46
2615,728.1534,729.0,728.79,728.1534,4063,709.755,728.5147464189024,81
2616,728.465,728.26,728.67,728.465,1576,709.755,728.6090210659896,38
2617,728.6799,727.5301,728.6799,727.83,4054,709.755,728.2334662555502,81
2618,727.53,728.28,728.25,727.53,3350,709.755,727.8993451343284,72
2619,728.3641,729.07,729.0,728.16,6927,709.755,728.6029400173239,121
2620,729.0,729.8197,729.67,729.0,5110,709.755,729.3258476125247,119
2621,729.8597,729.0,729.86,729.09,13212,709.755,729.5281103920676,186
2622,729.32,729.8099,729.66,728.81,17225,709.755,729.1878624208996,294
2623,729.44,730.5599,730.5,729.36,22749,709.755,729.8768613653348,418
2624,730.4033,729.81,730.7,729.9,7265,709.755,730.2665421059877,97
2625,730.0,728.3593,730.17,729.29,11671,709.755,729.8962939593863,157
2626,729.5387,728.73,729.7299,728.85,7443,709.755,729.2715540239152,155
2627,728.73,729.48,729.34,728.5937,13888,709.755,728.9967395809331,224
2628,729.5624,730.29,730.0,729.2546,10441,709.755,729.6683516521412,225
2629,730.23,728.62,730.6,729.7217,10798,709.755,730.1755686793853,259
2630,729.4215,729.0,729.5999,729.05,1765,709.755,729.446076713881,56
2631,729.1,728.27,729.45,728.3,5773,709.755,728.7756651134591,124
2632,728.18,729.0,728.98,728.07,6513,709.755,728.4624220021492,115
2633,729.0,728.2112,729.54,728.465,8606,709.755,728.9565964908203,198
2634,728.2112,727.48,728.6299,727.5157,11457,709.755,728.1132309679674,273
2635,727.55,729.2944,727.7799,727.36,4148,709.755,727.6248134763742,62
2636,727.57,726.5,727.79,726.7675,11070,709.755,727.3618513911473,200
2637,726.891,727.34,727.15,726.5,4465,709.755,726.8392263381858,104
2638,727.1767,726.61,727.37,726.67,4111,709.755,727.0351553879838,52
2639,726.6,725.74,726.75,726.0,9981,709.755,726.2588051998798,223
2640,725.9,725.0105,726.0,725.05,17278,709.755,725.5172985704371,328
2641,725.01,725.76,725.49,725.0,12331,709.755,725.1365426648289,333
2642,725.6112,726.55,726.205,725.5796,4768,709.755,725.963020448825,111
2643,726.58,725.75,726.755,725.945,10752,709.755,726.5049218191966,166
2644,725.63,726.5,726.44,725.5,6035,709.755,725.9950201656999,94
2645,726.44,725.6698,726.8665,725.81,8513,709.755,726.4310815693641,148
2646,725.6698,724.94,725.92,725.0,10811,709.755,725.2952892424393,239
2647,725.01,724.2,725.31,724.35,14305,709.755,724.7439110171268,356
2648,724.204,723.44,724.31,723.55,9950,709.755,724.0295162311558,345
2649,723.39,722.7,724.14,722.73,35269,709.755,723.5049637131763,902
2650,722.65,723.49,723.32,722.23,31410,709.755,722.7109192072587,527
2651,723.3601,724.27,724.1,723.34,9490,709.755,723.7352147207589,118
2652,724.35,723.5399,724.98,723.65,57213,709.755,724.3973610228451,1005
2653,723.2755,724.39,724.13,723.12,4296,709.755,723.7794147811916,101
2654,724.16,723.63,724.7145,723.8,9357,709.755,724.1097102810729,207
2655,723.63,724.37,724.16,723.5401,4763,709.755,723.899432878438,59
